epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,504.186,1.68172,1.07546,0.95409,0.75036,0.56819,0.61931,0.32246,1.80987,1.08323,0.98016,0.00397019,0.00397019,0.00397019
116,508.611,1.6976,1.05881,0.95769,0.76257,0.56101,0.64711,0.34208,1.78514,1.09136,0.97277,0.00389445,0.00389445,0.00389445
117,512.961,1.66817,1.0441,0.95736,0.63354,0.63306,0.69515,0.3351,1.87512,1.10408,0.99021,0.00381899,0.00381899,0.00381899
118,517.228,1.64992,1.05767,0.954,0.76971,0.56436,0.66452,0.34726,1.79913,1.0677,0.97484,0.00374383,0.00374383,0.00374383
119,521.579,1.67372,1.03863,0.95718,0.79347,0.54677,0.67035,0.34632,1.78213,1.06739,0.97763,0.00366899,0.00366899,0.00366899
120,525.982,1.68131,1.06644,0.95536,0.78429,0.56434,0.57353,0.33008,1.79259,1.06889,0.98004,0.0035945,0.0035945,0.0035945
121,530.384,1.66154,1.03488,0.9538,0.77923,0.56264,0.61634,0.32119,1.87142,1.08951,0.99291,0.00352037,0.00352037,0.00352037
122,534.812,1.70014,1.05204,0.95603,0.79405,0.55178,0.64776,0.33593,1.80338,1.08276,0.97895,0.00344661,0.00344661,0.00344661
123,539.174,1.69178,1.05771,0.95595,0.79569,0.55383,0.64654,0.31471,1.80023,1.09451,0.97453,0.00337325,0.00337325,0.00337325
124,543.55,1.65949,1.0482,0.95632,0.50978,0.73665,0.67308,0.33273,1.80365,1.06942,0.97397,0.0033003,0.0033003,0.0033003
125,547.917,1.65623,1.04652,0.95124,0.80558,0.5503,0.66498,0.33453,1.75721,1.07053,0.97138,0.00322778,0.00322778,0.00322778
126,552.262,1.69365,1.07756,0.95815,0.76999,0.57062,0.68125,0.35541,1.80877,1.06191,0.97791,0.00315572,0.00315572,0.00315572
127,556.748,1.65346,1.02652,0.94956,0.7679,0.57487,0.64397,0.32254,1.83376,1.0794,0.98163,0.00308412,0.00308412,0.00308412
128,561.127,1.67989,1.04906,0.96484,0.76982,0.54686,0.65423,0.33937,1.74962,1.09353,0.9682,0.003013,0.003013,0.003013
129,565.471,1.64501,1.03839,0.94382,0.79814,0.54579,0.69378,0.36774,1.83216,1.08115,0.97255,0.00294239,0.00294239,0.00294239
130,569.878,1.67886,1.05993,0.95278,0.77699,0.55188,0.67768,0.36251,1.77455,1.10495,0.97129,0.0028723,0.0028723,0.0028723
131,574.207,1.65161,1.03865,0.95457,0.78477,0.53326,0.68886,0.36786,1.74606,1.07187,0.96946,0.00280275,0.00280275,0.00280275
132,578.57,1.67574,1.05715,0.95716,0.80462,0.55463,0.70618,0.37677,1.87112,1.07778,0.97714,0.00273375,0.00273375,0.00273375
133,583.047,1.67362,1.07427,0.95352,0.79039,0.55017,0.70875,0.38169,1.76986,1.13186,0.96697,0.00266532,0.00266532,0.00266532
134,587.418,1.66135,1.0583,0.95543,0.79988,0.53409,0.67781,0.35821,1.77935,1.05771,0.96943,0.00259748,0.00259748,0.00259748
135,592.667,1.65544,1.04198,0.95044,0.54137,0.79188,0.66724,0.36255,1.74073,1.05,0.9652,0.00253024,0.00253024,0.00253024
136,597.985,1.67513,1.04895,0.95678,0.55744,0.779,0.66612,0.33713,1.76517,1.08746,0.97211,0.00246363,0.00246363,0.00246363
137,602.455,1.65576,1.05284,0.95607,0.72966,0.76344,0.71985,0.34954,1.77374,1.05199,0.97315,0.00239766,0.00239766,0.00239766
138,606.909,1.65169,1.02589,0.94683,0.76397,0.73116,0.71586,0.35042,1.75044,1.06421,0.96642,0.00233234,0.00233234,0.00233234
139,611.353,1.6167,1.02229,0.94948,0.72608,0.73976,0.71079,0.34188,1.77201,1.09864,0.96824,0.00226769,0.00226769,0.00226769
